unix_ms,node_id,broadcast_hello_cycles,broadcast_topo_cycles,process_packet_hello_cycles,process_packet_topo_cycles,calc_state_mds_total_cycles,calc_state_kabsch_cycles,calc_state_mds_iter_cycles,calc_state_routing_update_cycles,calc_state_build_neighbors_cycles,update_screen_mds_cycles,update_screen_table_cycles,broadcast_hello_ns,broadcast_topo_ns,process_packet_hello_ns,process_packet_topo_ns,calc_state_mds_total_ns,calc_state_kabsch_ns,calc_state_mds_iter_ns,calc_state_routing_update_ns,calc_state_build_neighbors_ns,update_screen_mds_ns,update_screen_table_ns
1782670061794,10,70217,36682,114123,100937,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,630856.250,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061794,5,71679,35117,70987,7281,7556184,68947,7461780,305092,82771,19237415,8933774,447993.750,219481.250,443668.750,45506.250,47226150.000,430918.750,46636125.000,1906825.000,517318.750,120233843.750,55836087.500
1782670061801,9,36982,35097,0,100927,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,630793.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061806,10,70217,36682,114123,100937,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,630856.250,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061814,5,74280,35117,70987,7281,7556184,68947,7461780,305092,82771,18697587,8933774,464250.000,219481.250,443668.750,45506.250,47226150.000,430918.750,46636125.000,1906825.000,517318.750,116859918.750,55836087.500
1782670061822,9,36982,35097,0,100927,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,630793.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061833,10,70217,36682,114123,100937,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,630856.250,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
1782670061843,9,36982,35097,0,100927,128666,0,88741,118296,16411,0,0,231137.500,219356.250,0.000,630793.750,804162.500,0.000,554631.250,739350.000,102568.750,0.000,0.000
1782670061843,3,74384,30260,122653,44276,130044,0,90270,129534,40512,18413014,0,464900.000,189125.000,766581.250,276725.000,812775.000,0.000,564187.500,809587.500,253200.000,115081337.500,0.000
1782670061860,10,70217,36682,114123,100937,129296,0,88741,122368,33739,0,0,438856.250,229262.500,713268.750,630856.250,808100.000,0.000,554631.250,764800.000,210868.750,0.000,0.000
